,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
300386,12095016902,12095017001,-81.41452803653735,28.45891414402385,-81.44687232019034,28.44371194076916,492,07/05/21 - 07/11/21,252,6569.0
300389,12095016902,12095017103,-81.41452803653735,28.45891414402385,-81.58984472607837,28.399509186734964,492,07/05/21 - 07/11/21,49,1277.0
300391,12095016902,12095014812,-81.41452803653735,28.45891414402385,-81.46746370346119,28.48015033020408,492,07/05/21 - 07/11/21,48,1251.0
300392,12095016902,12095017008,-81.41452803653735,28.45891414402385,-81.4138641119235,28.412887974028465,492,07/05/21 - 07/11/21,31,808.0
300393,12095016902,12095017107,-81.41452803653735,28.45891414402385,-81.49052573991088,28.42033684544668,492,07/05/21 - 07/11/21,16,417.0
300394,12095016902,12095017014,-81.41452803653735,28.45891414402385,-81.40448498381271,28.359014287823086,492,07/05/21 - 07/11/21,5,130.0
300395,12095016902,12095017004,-81.41452803653735,28.45891414402385,-81.45343963454303,28.41455868483979,492,07/05/21 - 07/11/21,4,104.0
300399,12095016902,12095017017,-81.41452803653735,28.45891414402385,-81.493939714878,28.37441640546639,492,07/05/21 - 07/11/21,21,547.0
300405,12095016902,12095016903,-81.41452803653735,28.45891414402385,-81.43158159868302,28.47926878705541,492,07/05/21 - 07/11/21,97,2528.0
300408,12095016902,12095014000,-81.41452803653735,28.45891414402385,-81.35373434109901,28.48827064880955,492,07/05/21 - 07/11/21,8,208.0
300409,12095016902,12095014200,-81.41452803653735,28.45891414402385,-81.38508077081445,28.453392729463097,492,07/05/21 - 07/11/21,92,2398.0
300410,12095016902,12095016727,-81.41452803653735,28.45891414402385,-81.20989821968047,28.55676706783803,492,07/05/21 - 07/11/21,4,104.0
300411,12095016902,12095018800,-81.41452803653735,28.45891414402385,-81.37194345914435,28.56372838612033,492,07/05/21 - 07/11/21,8,208.0
300416,12095016902,12095014504,-81.41452803653735,28.45891414402385,-81.42198108172703,28.494983951973936,492,07/05/21 - 07/11/21,86,2241.0
300417,12095016902,12095015901,-81.41452803653735,28.45891414402385,-81.36013646945389,28.597817533154792,492,07/05/21 - 07/11/21,4,104.0
300418,12095016902,12095015902,-81.41452803653735,28.45891414402385,-81.36794178597789,28.59336607138464,492,07/05/21 - 07/11/21,4,104.0
300419,12095016902,12095016802,-81.41452803653735,28.45891414402385,-81.2902303254668,28.402999695505816,492,07/05/21 - 07/11/21,34,886.0
300420,12095016902,12095017104,-81.41452803653735,28.45891414402385,-81.59910110201535,28.527686989620552,492,07/05/21 - 07/11/21,4,104.0
300421,12095016902,12095014813,-81.41452803653735,28.45891414402385,-81.4878945653334,28.45568082101141,492,07/05/21 - 07/11/21,4,104.0
300422,12095016902,12095016902,-81.41452803653735,28.45891414402385,-81.41452803653735,28.45891414402385,492,07/05/21 - 07/11/21,189,4926.0
300424,12095016902,12095018200,-81.41452803653735,28.45891414402385,-81.32388184371476,28.567168334810088,492,07/05/21 - 07/11/21,4,104.0
300425,12095016902,12095018900,-81.41452803653735,28.45891414402385,-81.38540984555351,28.54868370175992,492,07/05/21 - 07/11/21,12,312.0
300429,12095016902,12095014704,-81.41452803653735,28.45891414402385,-81.4714999889563,28.506703809702312,492,07/05/21 - 07/11/21,20,521.0
300433,12095016902,12095012900,-81.41452803653735,28.45891414402385,-81.34273119235995,28.560503251246647,492,07/05/21 - 07/11/21,4,104.0
300434,12095016902,12095016301,-81.41452803653735,28.45891414402385,-81.31832215197419,28.60255040032515,492,07/05/21 - 07/11/21,4,104.0
300435,12095016902,12095016907,-81.41452803653735,28.45891414402385,-81.40317950892162,28.47884504236559,492,07/05/21 - 07/11/21,50,1303.0
300439,12095016902,12095014701,-81.41452803653735,28.45891414402385,-81.46192944381264,28.545552251870674,492,07/05/21 - 07/11/21,8,208.0
300440,12095016902,12095017016,-81.41452803653735,28.45891414402385,-81.45975722267802,28.378951802292324,492,07/05/21 - 07/11/21,12,312.0
300442,12095016902,12095013507,-81.41452803653735,28.45891414402385,-81.29161979798035,28.463503124328213,492,07/05/21 - 07/11/21,20,521.0
