ZCTA5_o,ZCTA5_d,pop_wt_visitor_flows
53508,53508,82
53508,53515,0
53508,53516,0
53508,53517,0
53508,53521,2
53508,53523,0
53508,53527,1
53508,53528,1
53508,53529,0
53508,53531,0
53508,53532,0
53508,53534,0
53508,53544,0
53508,53555,0
53508,53558,2
53508,53559,0
53508,53560,0
53508,53562,18
53508,53571,0
53508,53572,63
53508,53574,1
53508,53575,30
53508,53583,1
53508,53589,4
53508,53590,5
53508,53593,126
53508,53597,2
53508,53598,0
53508,53703,6
53508,53704,6
53508,53705,63
53508,53706,0
53508,53711,85
53508,53713,32
53508,53714,0
53508,53715,24
53508,53716,15
53508,53717,10
53508,53718,10
53508,53719,111
53508,53726,0
53508,53792,0
53508,53911,0
53508,53925,0
53515,53508,0
53515,53515,35
53515,53517,3
53515,53521,0
53515,53527,1
53515,53528,26
53515,53529,0
53515,53531,0
53515,53532,0
53515,53555,0
53515,53558,2
53515,53559,1
53515,53560,64
53515,53562,38
53515,53571,0
53515,53572,40
53515,53575,0
53515,53583,0
53515,53589,0
53515,53590,5
53515,53593,27
53515,53594,0
53515,53597,11
53515,53598,0
53515,53703,6
53515,53704,3
53515,53705,23
53515,53706,1
53515,53711,21
53515,53713,1
53515,53714,2
53515,53715,2
53515,53716,2
53515,53717,22
53515,53718,1
53515,53719,45
53515,53726,1
53515,53792,0
53515,53911,0
53515,53925,0
53516,53508,0
53516,53515,0
53516,53516,0
53516,53517,0
53516,53521,0
53516,53527,0
53516,53528,0
53516,53529,0
53516,53531,0
53516,53532,0
53516,53544,0
53516,53555,0
53516,53558,0
53516,53560,0
53516,53562,0
53516,53571,0
53516,53572,0
53516,53574,0
53516,53575,0
53516,53583,0
53516,53589,0
53516,53590,0
53516,53593,0
53516,53597,0
53516,53598,0
53516,53703,0
53516,53704,0
53516,53705,0
53516,53706,0
53516,53711,0
53516,53713,0
53516,53714,0
53516,53715,0
53516,53716,0
53516,53717,0
53516,53718,0
53516,53719,0
53516,53726,0
53516,53792,0
53516,53911,0
53517,53508,0
53517,53515,6
53517,53516,0
53517,53517,6
53517,53521,0
53517,53527,0
53517,53528,9
53517,53529,0
53517,53531,0
53517,53532,1
53517,53544,0
53517,53555,0
53517,53558,0
53517,53560,9
53517,53562,23
53517,53571,0
53517,53572,98
53517,53574,0
53517,53575,3
53517,53583,0
53517,53589,0
53517,53590,2
53517,53593,51
53517,53597,1
53517,53598,0
53517,53703,4
53517,53704,1
53517,53705,15
53517,53706,0
53517,53711,13
53517,53713,7
53517,53714,0
53517,53715,2
53517,53716,3
53517,53717,22
53517,53718,0
53517,53719,37
53517,53726,0
53517,53792,0
53517,53911,0
53521,53508,9
53521,53515,0
53521,53516,0
53521,53517,1
53521,53521,10
53521,53527,3
53521,53528,2
53521,53529,0
53521,53531,0
53521,53532,1
53521,53544,0
53521,53558,10
53521,53562,21
53521,53572,3
53521,53574,0
53521,53575,147
53521,53589,45
53521,53590,9
53521,53593,30
53521,53597,4
53521,53598,0
53521,53703,3
53521,53704,21
53521,53705,29
53521,53706,1
53521,53711,35
53521,53713,29
53521,53714,2
53521,53715,6
53521,53716,8
53521,53717,11
53521,53718,11
53521,53719,42
53521,53726,0
53521,53792,0
53523,53508,0
53523,53515,0
53523,53516,0
53523,53517,0
53523,53521,1
53523,53523,53
53523,53527,47
53523,53528,1
53523,53529,1
